"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000971.17",893.277292113289,-6.69184194966375,0.173567997002299,0,0
"ENSG00000002933.9",512.55444418168,-7.76906359610571,0.144770967418754,0,0
"ENSG00000003436.16",1419.32643601546,-7.51836545335326,0.181866473104156,0,0
"ENSG00000008394.13",8915.42462577205,-6.41052356422594,0.144865254933598,0,0
"ENSG00000010292.13",3171.77184175222,4.1511870730609,0.109538158977247,0,0
"ENSG00000011422.12",1002.20634495425,7.27293492334639,0.167581035175681,0,0
"ENSG00000011426.11",4025.84577551836,7.13100660362953,0.142112639575402,0,0
"ENSG00000013810.21",1957.57372100541,4.31617041280126,0.0937902595141821,0,0
"ENSG00000017483.16",1591.52701164669,6.61199007456501,0.126674096557814,0,0
"ENSG00000025423.11",541.780386098129,-7.11551727492577,0.182357326671252,0,0
"ENSG00000035862.13",2433.6893063663,6.06398220996939,0.117985694845736,0,0
"ENSG00000050344.9",2299.02239231802,5.45260118864623,0.111912540404059,0,0
"ENSG00000051523.12",2120.38742773178,8.37450669747519,0.216778896417038,0,0
"ENSG00000057019.16",5258.3943634953,4.04963120298756,0.106894661378062,0,0
"ENSG00000062038.15",985.998112382572,6.52028987939714,0.158052785970514,0,0
"ENSG00000062282.15",1185.94342794868,-3.87504995548027,0.0980338013036307,0,0
"ENSG00000065911.13",3255.42818697782,5.87984552939655,0.107233992788368,0,0
"ENSG00000068489.13",1307.68665214588,6.32805806662619,0.128368072292658,0,0
"ENSG00000071282.12",432.654638486172,-4.17441706751894,0.0852257206025115,0,0
"ENSG00000071539.14",1053.05761337171,4.36641234565988,0.104329386086515,0,0
"ENSG00000071967.12",526.909509000374,6.67279303441713,0.0996146914392524,0,0
"ENSG00000072210.19",2555.8493653296,-3.27262948430332,0.0732958172311384,0,0
"ENSG00000072832.15",178.864049858202,4.64784621067639,0.107304525169195,0,0
"ENSG00000075643.6",494.475747320288,-4.33912050992596,0.0976063080425163,0,0
"ENSG00000076382.17",1471.01891412608,4.67131333233302,0.0846240125922228,0,0
"ENSG00000079308.21",1435.40927472966,-7.80384312646908,0.184804324985217,0,0
"ENSG00000080986.13",878.487414338514,6.81944393515312,0.171619794771062,0,0
"ENSG00000081059.20",1004.64333731728,4.560617561046,0.103180661550281,0,0
"ENSG00000081923.15",805.29120881156,-6.31385197314145,0.145615407648383,0,0
"ENSG00000082458.12",747.133562250079,5.19281307408334,0.0927407645136552,0,0
"ENSG00000085563.15",861.482049325944,-5.30429931500605,0.13839092694281,0,0
"ENSG00000085999.13",414.405040778149,5.56508998572858,0.139430633765553,0,0
"ENSG00000087253.13",1160.01313226592,4.9039059707261,0.123629522986569,0,0
"ENSG00000088325.16",3836.24625183821,5.4370666309638,0.127042404159905,0,0
"ENSG00000090889.12",1192.52206221924,8.3632987491336,0.213335141818309,0,0
"ENSG00000091513.16",3332.20356647722,-7.80146684583801,0.14796180217617,0,0
"ENSG00000093009.11",677.164150350012,5.44050691888076,0.127561538839334,0,0
"ENSG00000094804.12",1976.84450553149,5.11569155981242,0.113068793211251,0,0
"ENSG00000099377.14",1095.3532276002,-5.11898222814162,0.114173561750535,0,0
"ENSG00000099812.9",1018.46813518951,8.2285863216182,0.184080218458302,0,0
"ENSG00000100342.22",3515.75741780802,-6.10342028729742,0.120770184755894,0,0
"ENSG00000101144.13",1250.72266263429,6.19510211480122,0.153535710676749,0,0
"ENSG00000101188.5",1360.4387716619,8.58612148000502,0.202656569406943,0,0
"ENSG00000101210.14",1517.39402133536,5.42298998916619,0.138874291943032,0,0
"ENSG00000101311.17",1375.67043159408,4.97404133989757,0.128927213066781,0,0
"ENSG00000101412.13",1168.9648886505,5.33091778395858,0.137495074602994,0,0
"ENSG00000101670.12",552.191710845817,-5.29479763767506,0.107103543798031,0,0
"ENSG00000102554.14",1985.30697706475,4.49362170779616,0.115061831758153,0,0
"ENSG00000103187.8",3967.36947657098,5.96151690654687,0.131394450975972,0,0
"ENSG00000103942.13",302.229481710101,-6.37593357079915,0.157121937903978,0,0
"ENSG00000104325.7",914.926865076899,-4.77913899369418,0.115090874737572,0,0
"ENSG00000105011.9",946.942185259823,6.41007965659485,0.159812454612569,0,0
"ENSG00000105281.12",9212.61944680079,11.1100041366932,0.225461703039768,0,0
"ENSG00000105329.11",799.269969903099,6.16049343107487,0.161286590097148,0,0
"ENSG00000105499.14",198.287071139784,-3.43103955936384,0.0896914145416006,0,0
"ENSG00000106348.19",1626.59671966495,4.2019633131206,0.0820208143872237,0,0
"ENSG00000106565.19",948.639294296688,-8.19410509263493,0.177865483362133,0,0
"ENSG00000106853.20",5886.94315901983,-5.12030257815762,0.133376880987118,0,0
"ENSG00000108176.15",187.372060338311,-7.00831080133607,0.168304628721666,0,0
"ENSG00000108244.17",14007.2129583658,12.4900194677895,0.264247672180908,0,0
"ENSG00000109072.14",2772.63559234679,-13.3921521358269,0.351037655036531,0,0
"ENSG00000109586.12",859.061223857446,5.24054753843118,0.13336332254226,0,0
"ENSG00000110660.15",1050.10009818025,5.13031150539298,0.109240132358392,0,0
"ENSG00000111206.13",2208.68336997726,6.63908337916622,0.158182625561773,0,0
"ENSG00000111424.12",666.306049444588,4.14068557107492,0.102666300809861,0,0
"ENSG00000111665.12",880.984842285171,5.85539446179801,0.156299183088592,0,0
"ENSG00000113758.14",1899.34389082678,4.91067306129107,0.107604038045268,0,0
"ENSG00000113905.5",283.572890359135,-6.98871499200551,0.152641066840894,0,0
"ENSG00000114115.10",3836.00339862461,7.77758515382235,0.144904798446137,0,0
"ENSG00000114120.14",1989.640337206,7.11938527849482,0.169378470263477,0,0
"ENSG00000114251.15",589.984329334393,6.05051074388447,0.156417476739563,0,0
"ENSG00000114378.17",675.970643056394,-6.25345874342975,0.105354751443855,0,0
"ENSG00000115718.18",726.193888300835,-5.90173634571591,0.127943689306772,0,0
"ENSG00000115919.15",489.687112089076,-6.50007868650478,0.173141227038697,0,0
"ENSG00000117228.11",2019.3551503167,-9.43757552825256,0.139347586771598,0,0
"ENSG00000117394.24",9346.13503010835,5.89392617971927,0.150961955181047,0,0
"ENSG00000117519.16",2289.13517864323,-7.4429810303148,0.16781407874957,0,0
"ENSG00000117594.10",693.934520603726,-10.079553669816,0.225281077387248,0,0
"ENSG00000118804.9",2049.52483148131,-5.20853385397564,0.0995215822164067,0,0
"ENSG00000119686.10",383.586085316883,-5.10749498995805,0.105158209991843,0,0
"ENSG00000119888.11",7249.78563268725,6.45909642175047,0.153311699162784,0,0
"ENSG00000119938.9",602.776561562853,-8.43763889511546,0.203880789801847,0,0
"ENSG00000120885.22",10594.9299264286,-4.21533387597931,0.0906148925745387,0,0
