"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000007933.13",435.551571032803,-11.1958266519283,0.249307920965703,-44.9076251109908,0,0
"ENSG00000013810.21",1957.57372100541,4.6042107006334,0.106473267925228,43.2428795542066,0,0
"ENSG00000021852.14",232.894708138675,-12.3263721447711,0.314912180522886,-39.1422526886834,0,0
"ENSG00000025423.11",541.780386098129,-6.98258941834748,0.150333936414596,-46.4471933941161,0,0
"ENSG00000047457.14",1046.45392465216,-12.2718290262896,0.265811072234607,-46.1674862642982,0,0
"ENSG00000055957.11",646.329243580716,-13.5424030408607,0.307865344206118,-43.9880723690484,0,0
"ENSG00000062282.15",1185.94342794868,-3.73557143810779,0.0983954319395387,-37.9648868293316,0,0
"ENSG00000065911.13",3255.42818697782,5.95510608572482,0.119168660148589,49.9720822429282,0,0
"ENSG00000071282.12",432.654638486172,-4.06595126689572,0.0693234983833264,-58.6518476666154,0,0
"ENSG00000072080.11",96.9274519253517,-8.23229904260137,0.204496170996796,-40.2564947914371,0,0
"ENSG00000082458.12",747.133562250079,5.1950035676653,0.111587863361455,46.5552741236533,0,0
"ENSG00000084674.15",5589.07265217385,-16.8473880638879,0.403383568232877,-41.7651818037411,0,0
"ENSG00000089685.15",1794.52816904521,5.8601074720795,0.152682138062047,38.3810938624534,0,0
"ENSG00000091583.11",3073.35500777631,-15.7281054284339,0.313571639378448,-50.1579334776884,0,0
"ENSG00000093009.11",677.164150350012,5.35212378806996,0.116747011496441,45.843775523394,0,0
"ENSG00000101323.5",254.25927001027,-12.5171909420486,0.328007296473143,-38.16131859455,0,0
"ENSG00000101981.12",200.167690618122,-12.1724111077521,0.315338806942096,-38.6010565137555,0,0
"ENSG00000102554.14",1985.30697706475,4.50225844556638,0.100229531827137,44.9194799525882,0,0
"ENSG00000103569.11",621.48207976982,-13.6784296435296,0.325760225246848,-41.9892564635988,0,0
"ENSG00000104760.17",3631.2563225466,-15.3916318261747,0.315484968985064,-48.7872112439798,0,0
"ENSG00000105281.12",9212.61944680079,10.5206252513632,0.249089669593805,42.2362969468762,0,0
"ENSG00000105398.4",691.455114146233,-12.3788756341456,0.29101591351068,-42.5367653775788,0,0
"ENSG00000106348.19",1626.59671966495,4.39013260154673,0.0847486296963801,51.8018122213278,0,0
"ENSG00000106462.12",1701.29619716446,2.88156091282859,0.0760231541834003,37.9037274075348,0,0
"ENSG00000106927.12",4992.66996738128,-15.0223084883257,0.269394161227552,-55.7633039256433,0,0
"ENSG00000106993.12",666.978137342039,-3.17660821549748,0.0827416184901597,-38.3919032944136,0,0
"ENSG00000107186.17",221.243519622676,-12.1880483372959,0.318360141449592,-38.2838388053227,0,0
"ENSG00000109072.14",2772.63559234679,-12.1821830989331,0.195710116871526,-62.2460570443074,0,0
"ENSG00000110243.12",283.064775351641,-12.4155312657459,0.307914815272769,-40.3213182670261,0,0
"ENSG00000110244.7",1671.29488419373,-14.9133394690782,0.306285352982295,-48.6909978680576,0,0
"ENSG00000110245.12",6031.19488342452,-16.8930928711815,0.311580964249774,-54.2173457606975,0,0
"ENSG00000111052.8",199.797011524095,-8.81146552368831,0.174125801050214,-50.6040200277228,0,0
"ENSG00000111206.13",2208.68336997726,6.70270529132607,0.167822398927152,39.9392770820512,0,0
"ENSG00000111339.12",620.273265906854,-10.2331837499211,0.248056494966746,-41.2534400733709,0,0
"ENSG00000113600.12",273.810990197398,-11.7893948851499,0.312437219195549,-37.7336442678142,0,0
"ENSG00000113889.14",848.741497678952,-12.1968048424239,0.249387970943792,-48.9069492657001,0,0
"ENSG00000114120.14",1989.640337206,7.34773820258899,0.158414630662044,46.3829519526158,0,0
"ENSG00000117394.24",9346.13503010835,5.95111239732099,0.127569198488983,46.6500728060539,0,0
"ENSG00000117594.10",693.934520603726,-11.2101354194791,0.200879915043291,-55.8051581068385,0,0
"ENSG00000117601.15",941.329798708605,-12.4760841422932,0.262650209711246,-47.5007583508471,0,0
"ENSG00000118271.12",2402.79632848697,-15.6936491450593,0.312087473566625,-50.2860591157595,0,0
"ENSG00000120158.12",967.563315536446,-2.29283037221634,0.0577503100145109,-39.7024772964893,0,0
"ENSG00000120885.22",10594.9299264286,-4.54371462147973,0.0998524522437958,-45.5042867689016,0,0
"ENSG00000122194.20",338.927338767755,-9.16146696651589,0.159664200796456,-57.3795936773278,0,0
"ENSG00000123838.11",620.452027334654,-13.0344503732837,0.310851603348711,-41.9314239748725,0,0
"ENSG00000125398.8",2351.18677885666,5.90420283062669,0.111424533955121,52.9883556255641,0,0
"ENSG00000127564.17",845.260214545599,6.02972800079753,0.143283846634084,42.0823989754835,0,0
"ENSG00000129353.15",1436.23478700585,5.28157733909478,0.112086840438758,47.1204052002923,0,0
"ENSG00000129596.5",186.83694912497,-9.82218151107486,0.249780010219227,-39.3233289663738,0,0
"ENSG00000129824.16",347.607779476768,-12.7111937714172,0.310003797512208,-41.0033485829044,0,0
"ENSG00000131943.20",451.413025810166,-2.62086329249038,0.0647740435576738,-40.4616285867164,0,0
"ENSG00000132470.14",3801.1712382054,8.69731006406637,0.210956915216352,41.2278974365293,0,0
"ENSG00000132693.12",972.741712897832,-14.453203468985,0.313952250774806,-46.0363110419364,0,0
"ENSG00000132703.4",2673.59631732493,-15.8476665271295,0.334696642026128,-47.3493442634909,0,0
